epoch: 1, train_loss: 1.737, acc: 24.4, fscore: [15.73], valid_loss: 1.7398, acc: 16.54, fscore: [5.6], test_loss: 1.7006, acc: 23.66, fscore: [9.05], time: 36.66 sec
epoch: 2, train_loss: 1.5989, acc: 37.28, fscore: [31.51], valid_loss: 1.6099, acc: 32.46, fscore: [18.52], test_loss: 1.5796, acc: 32.16, fscore: [21.83], time: 35.42 sec
epoch: 3, train_loss: 1.4532, acc: 46.76, fscore: [40.33], valid_loss: 1.42, acc: 49.0, fscore: [38.27], test_loss: 1.3879, acc: 49.97, fscore: [40.31], time: 35.38 sec
epoch: 4, train_loss: 1.3148, acc: 49.04, fscore: [42.37], valid_loss: 1.2945, acc: 55.95, fscore: [47.67], test_loss: 1.2465, acc: 54.22, fscore: [47.74], time: 37.06 sec
epoch: 5, train_loss: 1.2125, acc: 50.82, fscore: [46.01], valid_loss: 1.2012, acc: 54.4, fscore: [50.58], test_loss: 1.1262, acc: 59.95, fscore: [55.94], time: 38.66 sec
epoch: 6, train_loss: 1.1378, acc: 52.61, fscore: [49.05], valid_loss: 1.1521, acc: 54.1, fscore: [50.82], test_loss: 1.0615, acc: 61.61, fscore: [58.03], time: 38.08 sec
epoch: 7, train_loss: 1.0865, acc: 54.08, fscore: [51.61], valid_loss: 1.1228, acc: 52.86, fscore: [50.01], test_loss: 1.0121, acc: 62.72, fscore: [60.42], time: 35.95 sec
epoch: 8, train_loss: 1.051, acc: 55.12, fscore: [53.87], valid_loss: 1.117, acc: 51.47, fscore: [48.9], test_loss: 0.9998, acc: 61.92, fscore: [59.8], time: 35.57 sec
epoch: 9, train_loss: 1.0124, acc: 57.14, fscore: [55.82], valid_loss: 1.0738, acc: 56.11, fscore: [53.46], test_loss: 0.9641, acc: 63.4, fscore: [61.24], time: 35.22 sec
epoch: 10, train_loss: 0.9846, acc: 59.46, fscore: [58.62], valid_loss: 1.052, acc: 55.49, fscore: [52.31], test_loss: 0.9613, acc: 63.4, fscore: [61.76], time: 35.33 sec
epoch: 11, train_loss: 0.9715, acc: 60.16, fscore: [59.38], valid_loss: 1.0524, acc: 56.41, fscore: [53.55], test_loss: 0.9421, acc: 63.03, fscore: [61.34], time: 35.12 sec
epoch: 12, train_loss: 0.9277, acc: 62.06, fscore: [61.22], valid_loss: 1.0169, acc: 58.89, fscore: [56.57], test_loss: 0.9474, acc: 62.29, fscore: [60.46], time: 35.74 sec
epoch: 13, train_loss: 0.9089, acc: 62.89, fscore: [62.14], valid_loss: 1.0224, acc: 56.41, fscore: [52.79], test_loss: 0.9357, acc: 62.78, fscore: [61.33], time: 36.81 sec
epoch: 14, train_loss: 0.9201, acc: 61.9, fscore: [61.18], valid_loss: 1.0403, acc: 56.26, fscore: [55.44], test_loss: 0.9431, acc: 60.75, fscore: [60.01], time: 39.4 sec
epoch: 15, train_loss: 0.8747, acc: 65.0, fscore: [64.51], valid_loss: 0.9992, acc: 57.5, fscore: [54.67], test_loss: 0.9447, acc: 60.81, fscore: [59.53], time: 39.61 sec
epoch: 16, train_loss: 0.8514, acc: 66.3, fscore: [65.53], valid_loss: 0.9708, acc: 59.81, fscore: [57.09], test_loss: 0.9168, acc: 62.17, fscore: [61.06], time: 37.05 sec
epoch: 17, train_loss: 0.8395, acc: 66.49, fscore: [65.96], valid_loss: 1.0032, acc: 58.58, fscore: [56.51], test_loss: 0.9297, acc: 63.71, fscore: [62.46], time: 35.71 sec
epoch: 18, train_loss: 0.799, acc: 68.66, fscore: [68.02], valid_loss: 0.9802, acc: 58.89, fscore: [56.84], test_loss: 0.9225, acc: 62.11, fscore: [60.86], time: 36.0 sec
epoch: 19, train_loss: 0.7755, acc: 69.67, fscore: [69.06], valid_loss: 0.9916, acc: 57.34, fscore: [56.47], test_loss: 0.9174, acc: 63.03, fscore: [62.95], time: 35.25 sec
epoch: 20, train_loss: 0.7476, acc: 71.28, fscore: [70.86], valid_loss: 0.9704, acc: 57.19, fscore: [55.76], test_loss: 0.9194, acc: 63.59, fscore: [63.02], time: 35.01 sec
epoch: 21, train_loss: 0.7245, acc: 72.13, fscore: [71.44], valid_loss: 0.9622, acc: 60.12, fscore: [58.36], test_loss: 0.9135, acc: 62.35, fscore: [61.55], time: 40.36 sec
epoch: 22, train_loss: 0.705, acc: 72.59, fscore: [71.98], valid_loss: 1.0272, acc: 52.4, fscore: [51.78], test_loss: 0.9386, acc: 60.87, fscore: [60.7], time: 38.67 sec
epoch: 23, train_loss: 0.6999, acc: 72.55, fscore: [72.02], valid_loss: 0.9491, acc: 62.13, fscore: [60.68], test_loss: 0.9085, acc: 63.65, fscore: [63.24], time: 41.43 sec
epoch: 24, train_loss: 0.6779, acc: 74.18, fscore: [73.83], valid_loss: 1.0124, acc: 54.4, fscore: [53.22], test_loss: 0.9754, acc: 61.06, fscore: [61.26], time: 41.27 sec
epoch: 25, train_loss: 0.758, acc: 69.48, fscore: [69.19], valid_loss: 1.0065, acc: 53.63, fscore: [52.87], test_loss: 0.9517, acc: 60.63, fscore: [60.21], time: 44.15 sec
epoch: 26, train_loss: 0.795, acc: 67.85, fscore: [67.53], valid_loss: 0.9696, acc: 59.2, fscore: [58.66], test_loss: 0.925, acc: 63.15, fscore: [63.12], time: 47.46 sec
epoch: 27, train_loss: 0.7335, acc: 71.08, fscore: [70.75], valid_loss: 1.0119, acc: 57.5, fscore: [56.62], test_loss: 0.9799, acc: 61.8, fscore: [61.55], time: 46.34 sec
epoch: 28, train_loss: 0.71, acc: 71.82, fscore: [71.32], valid_loss: 0.9717, acc: 59.97, fscore: [58.71], test_loss: 0.9288, acc: 63.09, fscore: [62.34], time: 45.6 sec
epoch: 29, train_loss: 0.6702, acc: 73.56, fscore: [73.33], valid_loss: 1.1047, acc: 54.1, fscore: [54.15], test_loss: 0.992, acc: 61.92, fscore: [61.68], time: 46.91 sec
epoch: 30, train_loss: 0.6486, acc: 74.98, fscore: [74.63], valid_loss: 0.9987, acc: 57.65, fscore: [57.36], test_loss: 0.907, acc: 64.39, fscore: [64.37], time: 46.29 sec
epoch: 31, train_loss: 0.5972, acc: 77.96, fscore: [77.66], valid_loss: 0.9928, acc: 58.11, fscore: [58.12], test_loss: 0.9002, acc: 64.63, fscore: [64.65], time: 47.45 sec
epoch: 32, train_loss: 0.568, acc: 78.95, fscore: [78.79], valid_loss: 1.0602, acc: 55.33, fscore: [55.5], test_loss: 0.9624, acc: 63.4, fscore: [63.23], time: 46.68 sec
epoch: 33, train_loss: 0.5511, acc: 79.47, fscore: [79.13], valid_loss: 1.0434, acc: 57.19, fscore: [56.66], test_loss: 0.9213, acc: 64.94, fscore: [64.66], time: 51.01 sec
epoch: 34, train_loss: 0.53, acc: 80.63, fscore: [80.24], valid_loss: 1.0339, acc: 55.49, fscore: [55.45], test_loss: 0.9281, acc: 65.13, fscore: [65.09], time: 49.03 sec
epoch: 35, train_loss: 0.5181, acc: 80.98, fscore: [80.77], valid_loss: 1.0368, acc: 56.72, fscore: [57.12], test_loss: 0.9285, acc: 65.25, fscore: [65.41], time: 48.34 sec
epoch: 36, train_loss: 0.4991, acc: 82.06, fscore: [81.86], valid_loss: 1.0601, acc: 56.11, fscore: [56.43], test_loss: 0.9868, acc: 63.59, fscore: [63.53], time: 49.31 sec
epoch: 37, train_loss: 0.5087, acc: 81.31, fscore: [81.05], valid_loss: 1.0841, acc: 51.62, fscore: [50.93], test_loss: 1.0381, acc: 61.74, fscore: [62.07], time: 47.99 sec
epoch: 38, train_loss: 0.5371, acc: 79.37, fscore: [79.19], valid_loss: 1.034, acc: 54.56, fscore: [54.44], test_loss: 0.9691, acc: 63.4, fscore: [63.56], time: 49.9 sec
epoch: 39, train_loss: 0.5739, acc: 77.8, fscore: [77.7], valid_loss: 1.1734, acc: 55.95, fscore: [55.92], test_loss: 0.9996, acc: 62.97, fscore: [62.89], time: 49.7 sec
epoch: 40, train_loss: 0.5405, acc: 79.86, fscore: [79.77], valid_loss: 1.2327, acc: 52.09, fscore: [51.34], test_loss: 1.0631, acc: 62.48, fscore: [62.02], time: 52.62 sec
epoch: 41, train_loss: 0.5595, acc: 78.54, fscore: [78.27], valid_loss: 1.0311, acc: 56.88, fscore: [56.62], test_loss: 0.934, acc: 66.61, fscore: [66.86], time: 51.11 sec
epoch: 42, train_loss: 0.4781, acc: 82.65, fscore: [82.59], valid_loss: 1.1967, acc: 53.17, fscore: [52.98], test_loss: 1.0072, acc: 63.77, fscore: [63.5], time: 50.19 sec
epoch: 43, train_loss: 0.4547, acc: 83.65, fscore: [83.55], valid_loss: 1.0965, acc: 55.33, fscore: [54.59], test_loss: 0.949, acc: 64.88, fscore: [64.74], time: 52.5 sec
epoch: 44, train_loss: 0.4279, acc: 85.32, fscore: [85.14], valid_loss: 1.0772, acc: 56.11, fscore: [56.04], test_loss: 0.9398, acc: 65.37, fscore: [65.52], time: 52.98 sec
epoch: 45, train_loss: 0.4036, acc: 86.15, fscore: [86.0], valid_loss: 1.2275, acc: 54.1, fscore: [54.13], test_loss: 1.0281, acc: 64.63, fscore: [64.42], time: 50.85 sec
